"","Success","Fails_NS","Fails_WS","Fails","HuntEvents","CaptureEvents","expID","groupID","dataSetID","HuntPower","Efficiency"
"224",0,5,0,5,9,5,"224","LL",1,0,0
"225",0,2,0,2,2,2,"225","NL",1,0,0
"226",2,4,10,14,25,16,"226","DL",1,0.25,0.125
"228",11,8,1,9,26,20,"228","LL",1,6.05,0.55
"229",2,7,1,8,19,10,"229","NL",1,0.4,0.2
"231",0,2,0,2,2,2,"231","DL",1,0,0
"2320",7,11,5,16,29,23,"2320","LL",1,2.1304347826087,0.304347826086957
"234",0,1,0,1,2,1,"234","NL",1,0,0
"236",0,1,1,2,2,2,"236","DL",1,0,0
"238",0,1,0,1,2,1,"238","LL",1,0,0
"239",0,1,1,2,3,2,"239","NL",1,0,0
"240",2,2,0,2,4,4,"240","DL",1,1,0.5
"248",5,1,0,1,6,6,"248","LL",2,4.16666666666667,0.833333333333333
"249",0,0,0,0,0,0,"249","NL",2,NA,NA
"250",0,0,0,0,0,0,"250","DL",2,NA,NA
"251",0,0,1,1,2,1,"251","DL",2,0,0
"252",5,11,3,14,22,19,"252","NL",2,1.31578947368421,0.263157894736842
"253",2,3,1,4,6,6,"253","LL",2,0.666666666666667,0.333333333333333
"254",0,10,2,12,18,12,"254","LL",2,0,0
"260",0,0,1,1,1,1,"260","DL",2,0,0
"261",0,1,0,1,1,1,"261","NL",2,0,0
"262",1,2,1,3,7,4,"262","DL",2,0.25,0.25
"263",6,5,2,7,16,13,"263","LL",2,2.76923076923077,0.461538461538462
"264",1,0,0,0,1,1,"264","NL",2,1,1
"272",3,1,0,1,4,4,"272","LL",3,2.25,0.75
"273",1,1,0,1,6,2,"273","NL",3,0.5,0.5
"274",1,1,0,1,3,2,"274","DL",3,0.5,0.5
"275",0,0,0,0,0,0,"275","NL",3,NA,NA
"276",0,0,0,0,0,0,"276","DL",3,NA,NA
"279",0,0,0,0,0,0,"279","LL",3,NA,NA
"281",0,0,0,0,0,0,"281","NL",3,NA,NA
"282",0,1,0,1,2,1,"282","LL",3,0,0
"283",2,2,1,3,10,5,"283","DL",3,0.8,0.4
"284",1,2,0,2,5,3,"284","DL",3,0.333333333333333,0.333333333333333
"287",4,8,4,12,21,16,"287","NL",3,1,0.25
"288",3,4,2,6,23,9,"288","LL",3,1,0.333333333333333
"2950",0,5,0,5,5,5,"2950","NL",4,0,0
"2951",3,7,1,8,15,11,"2951","LL",4,0.818181818181818,0.272727272727273
"296",2,5,1,6,18,8,"296","DL",4,0.5,0.25
"297",2,1,0,1,10,3,"297","NL",4,1.33333333333333,0.666666666666667
"298",1,5,0,5,6,6,"298","DL",4,0.166666666666667,0.166666666666667
"301",7,7,6,13,24,20,"301","LL",4,2.45,0.35
"306",1,11,3,14,39,15,"306","DL",4,0.0666666666666667,0.0666666666666667
"308",8,5,2,7,37,15,"308","LL",4,4.26666666666667,0.533333333333333
"309",7,8,8,16,40,23,"309","NL",4,2.1304347826087,0.304347826086957
"310",4,0,0,0,16,4,"310","LL",4,4,1
"311",0,1,0,1,1,1,"311","DL",4,0,0
"312",0,0,0,0,0,0,"312","NL",4,NA,NA
"317",0,1,0,1,1,1,"317","LL",5,0,0
"318",4,6,1,7,12,11,"318","NL",5,1.45454545454545,0.363636363636364
"319",0,1,0,1,1,1,"319","DL",5,0,0
"321",0,0,0,0,0,0,"321","NL",5,NA,NA
"326",4,8,0,8,14,12,"326","LL",5,1.33333333333333,0.333333333333333
"327",0,6,0,6,7,6,"327","DL",5,0,0
"330",0,0,0,0,0,0,"330","LL",5,NA,NA
"331",0,0,0,0,0,0,"331","DL",5,NA,NA
"334",1,2,0,2,3,3,"334","LL",5,0.333333333333333,0.333333333333333
"335",1,0,0,0,2,1,"335","DL",5,1,1
"336",1,1,1,2,5,3,"336","NL",5,0.333333333333333,0.333333333333333
"337",0,1,0,1,2,1,"337","NL",5,0,0
"3381",1,2,0,2,5,3,"3381","LL",6,0.333333333333333,0.333333333333333
"3391",0,0,0,0,0,0,"3391","NL",6,NA,NA
"3401",0,0,0,0,0,0,"3401","DL",6,NA,NA
"3413",1,3,1,4,6,5,"3413","NL",6,0.2,0.2
"3421",2,2,0,2,5,4,"3421","DL",6,1,0.5
"3431",3,1,3,4,9,7,"3431","LL",6,1.28571428571429,0.428571428571429
"3441",1,6,5,11,13,12,"3441","LL",6,0.0833333333333333,0.0833333333333333
"3451",4,6,1,7,22,11,"3451","NL",6,1.45454545454545,0.363636363636364
"3461",3,18,2,20,29,23,"3461","DL",6,0.391304347826087,0.130434782608696
"3471",18,6,6,12,35,30,"3471","LL",6,10.8,0.6
"3481",1,0,0,0,1,1,"3481","DL",6,1,1
"3491",0,0,0,0,0,0,"3491","NL",6,NA,NA
"3501",0,2,0,2,2,2,"3501","NL",7,0,0
"3511",8,37,2,39,50,47,"3511","DL",7,1.36170212765957,0.170212765957447
"3521",7,7,4,11,23,18,"3521","LL",7,2.72222222222222,0.388888888888889
"3531",2,0,0,0,2,2,"3531","NL",7,2,1
"3541",20,29,3,32,60,52,"3541","LL",7,7.69230769230769,0.384615384615385
"3551",10,23,2,25,36,35,"3551","DL",7,2.85714285714286,0.285714285714286
"3561",14,19,5,24,45,38,"3561","LL",7,5.15789473684211,0.368421052631579
"3571",2,2,1,3,5,5,"3571","NL",7,0.8,0.4
"3581",7,27,9,36,48,43,"3581","DL",7,1.13953488372093,0.162790697674419
"3591",14,22,7,29,45,43,"3591","LL",7,4.55813953488372,0.325581395348837
"3601",1,7,2,9,15,10,"3601","NL",7,0.1,0.1
"3611",0,2,0,2,3,2,"3611","DL",7,0,0
"3621",0,1,1,2,2,2,"3621","LL",8,0,0
"3631",0,0,0,0,0,0,"3631","NL",8,NA,NA
"3641",5,15,2,17,29,22,"3641","DL",8,1.13636363636364,0.227272727272727
"3652",4,6,1,7,11,11,"3652","LL",8,1.45454545454545,0.363636363636364
"3661",4,9,1,10,15,14,"3661","DL",8,1.14285714285714,0.285714285714286
"3671",4,18,13,31,48,35,"3671","NL",8,0.457142857142857,0.114285714285714
"3681",6,9,4,13,20,19,"3681","LL",8,1.89473684210526,0.315789473684211
"3691",1,18,4,22,27,23,"3691","DL",8,0.0434782608695652,0.0434782608695652
"3701",0,2,1,3,4,3,"3701","NL",8,0,0
"3711",0,0,0,0,0,0,"3711","LL",8,NA,NA
"3721",4,27,0,27,34,31,"3721","DL",8,0.516129032258065,0.129032258064516
"3731",6,17,0,17,30,23,"3731","NL",8,1.56521739130435,0.260869565217391
"3741",1,2,1,3,6,4,"3741","LL",9,0.25,0.25
"3751",2,3,1,4,11,6,"3751","NL",9,0.666666666666667,0.333333333333333
"3761",0,3,0,3,4,3,"3761","DL",9,0,0
"3771",0,1,0,1,1,1,"3771","DL",9,0,0
"3781",5,3,0,3,13,8,"3781","NL",9,3.125,0.625
"3791",0,0,0,0,0,0,"3791","LL",9,NA,NA
"3801",2,1,0,1,4,3,"3801","LL",9,1.33333333333333,0.666666666666667
"3811",1,3,2,5,7,6,"3811","NL",9,0.166666666666667,0.166666666666667
"3821",4,4,1,5,9,9,"3821","DL",9,1.77777777777778,0.444444444444444
"3831",0,2,0,2,2,2,"3831","DL",9,0,0
"3841",0,1,0,1,1,1,"3841","NL",9,0,0
"3851",0,2,0,2,2,2,"3851","LL",9,0,0
"3861",0,1,0,1,1,1,"3861","LL",10,0,0
"3871",4,18,12,30,47,34,"3871","NL",10,0.470588235294118,0.117647058823529
"3881",0,6,1,7,11,7,"3881","DL",10,0,0
"3891",3,3,0,3,9,6,"3891","LL",10,1.5,0.5
"3901",1,0,0,0,1,1,"3901","DL",10,1,1
"3911",8,34,7,41,54,49,"3911","NL",10,1.30612244897959,0.163265306122449
"3921",4,32,9,41,47,45,"3921","LL",10,0.355555555555556,0.0888888888888889
"3931",17,25,12,37,56,54,"3931","NL",10,5.35185185185185,0.314814814814815
"3941",6,37,5,42,50,48,"3941","DL",10,0.75,0.125
"3951",6,8,0,8,15,14,"3951","LL",10,2.57142857142857,0.428571428571429
"3961",5,33,0,33,43,38,"3961","NL",10,0.657894736842105,0.131578947368421
"3971",4,11,0,11,15,15,"3971","DL",10,1.06666666666667,0.266666666666667
"3981",1,4,0,4,7,5,"3981","NL",11,0.2,0.2
"3991",0,2,0,2,2,2,"3991","DL",11,0,0
"4001",0,18,1,19,20,19,"4001","LL",11,0,0
"4011",1,1,0,1,3,2,"4011","LL",11,0.5,0.5
"4021",2,5,0,5,9,7,"4021","NL",11,0.571428571428571,0.285714285714286
"4031",5,4,0,4,11,9,"4031","DL",11,2.77777777777778,0.555555555555556
"4041",15,25,15,40,65,55,"4041","LL",11,4.09090909090909,0.272727272727273
"4051",6,20,1,21,31,27,"4051","NL",11,1.33333333333333,0.222222222222222
"4061",0,1,0,1,1,1,"4061","DL",11,0,0
"4071",2,18,0,18,21,20,"4071","DL",11,0.2,0.1
"4081",3,16,6,22,25,25,"4081","LL",11,0.36,0.12
"4091",10,43,2,45,60,55,"4091","NL",11,1.81818181818182,0.181818181818182
"4101",0,0,0,0,0,0,"4101","NL",12,NA,NA
"4121",1,9,0,9,12,10,"4121","DL",12,0.1,0.1
"4131",0,0,0,0,1,0,"4131","LL",12,NA,NA
"4141",2,3,0,3,5,5,"4141","LL",12,0.8,0.4
"4151",0,3,2,5,7,5,"4151","NL",12,0,0
"4161",1,1,0,1,2,2,"4161","DL",12,0.5,0.5
"4171",0,0,0,0,0,0,"4171","LL",12,NA,NA
"4181",3,24,0,24,32,27,"4181","NL",12,0.333333333333333,0.111111111111111
"4191",2,3,0,3,7,5,"4191","DL",12,0.8,0.4
"4201",0,0,0,0,0,0,"4201","LL",12,NA,NA
"4211",0,3,0,3,3,3,"4211","NL",12,0,0
"4221",0,0,0,0,0,0,"4221","DL",12,NA,NA
"4231",0,0,1,1,1,1,"4231","LL",13,0,0
"4241",3,15,0,15,29,18,"4241","NL",13,0.5,0.166666666666667
"4251",1,19,0,19,25,20,"4251","DL",13,0.05,0.05
"4271",0,0,0,0,0,0,"4271","NL",13,NA,NA
"4281",0,0,0,0,0,0,"4281","DL",13,NA,NA
"4291",0,0,0,0,0,0,"4291","LL",13,NA,NA
"4301",0,0,0,0,0,0,"4301","NL",13,NA,NA
"4311",0,0,0,0,2,0,"4311","DL",13,NA,NA
"4321",1,1,0,1,3,2,"4321","LL",13,0.5,0.5
"4331",0,0,0,0,0,0,"4331","NL",13,NA,NA
"4341",0,1,0,1,6,1,"4341","DL",13,0,0
"4361",0,1,0,1,1,1,"4361","LL",14,0,0
"4371",0,0,0,0,0,0,"4371","NL",14,NA,NA
"4381",0,0,0,0,0,0,"4381","DL",14,NA,NA
"4391",0,1,0,1,1,1,"4391","LL",14,0,0
"4401",0,0,0,0,0,0,"4401","NL",14,NA,NA
"4412",0,0,0,0,0,0,"4412","DL",14,NA,NA
"4422",1,0,0,0,1,1,"4422","LL",14,1,1
"4431",0,0,0,0,0,0,"4431","NL",14,NA,NA
"4441",0,0,0,0,0,0,"4441","DL",14,NA,NA
"4451",0,1,0,1,1,1,"4451","LL",14,0,0
"4461",0,1,0,1,3,1,"4461","NL",14,0,0
"4471",0,0,0,0,0,0,"4471","DL",14,NA,NA
"4511",0,0,0,0,0,0,"4511","LL",15,NA,NA
"4521",2,3,0,3,13,5,"4521","NL",15,0.8,0.4
"4531",0,0,0,0,0,0,"4531","DL",15,NA,NA
"4542",1,0,0,0,1,1,"4542","LL",15,1,1
"4551",0,2,1,3,5,3,"4551","NL",15,0,0
"4561",9,26,13,39,92,48,"4561","DL",15,1.6875,0.1875
"4571",3,0,2,2,19,5,"4571","LL",15,1.8,0.6
"4581",0,2,1,3,6,3,"4581","DL",15,0,0
"4591",0,0,1,1,1,1,"4591","NL",15,0,0
"4601",0,0,0,0,0,0,"4601","LL",15,NA,NA
"4612",11,33,12,45,74,56,"4612","LL",15,2.16071428571429,0.196428571428571
"4621",0,2,0,2,2,2,"4621","NL",15,0,0
"4631",0,2,0,2,6,2,"4631","DL",15,0,0
