"","expID","Length_mm","Success","CaptureEvents","HuntPower","Efficiency"
"1","224",4.07617088607595,0,5,0,0
"2","225",3.94924050632911,0,2,0,0
"3","226",4.11139240506329,2,16,0.25,0.125
"4","228",4.70373417721519,11,20,6.05,0.55
"5","229",3.97936708860759,2,10,0.4,0.2
"6","231",4.04910126582279,0,2,0,0
"7","2320",4.21723417721519,7,23,2.1304347826087,0.304347826086957
"8","234",4.12880379746835,0,1,0,0
"9","236",4.60843670886076,0,2,0,0
"10","238",4.02384810126582,0,1,0,0
"11","239",4.11582278481013,0,2,0,0
"12","240",4.29011392405063,2,4,1,0.5
"13","248",4.50875316455696,5,6,4.16666666666667,0.833333333333333
"14","251",4.19295569620253,0,1,0,0
"15","252",3.94303797468354,5,19,1.31578947368421,0.263157894736842
"16","253",4.305,2,6,0.666666666666667,0.333333333333333
"17","254",4.50963924050633,0,12,0,0
"18","260",4.57412341772152,0,1,0,0
"19","261",4.18356329113924,0,1,0,0
"20","262",4.39892405063291,1,4,0.25,0.25
"21","263",4.52784810126582,6,13,2.76923076923077,0.461538461538462
"22","264",4.19787341772152,1,1,1,1
"23","272",4.4179746835443,3,4,2.25,0.75
"24","273",4.17957594936709,1,2,0.5,0.5
"25","274",4.14107594936709,1,2,0.5,0.5
"26","282",4.08481012658228,0,1,0,0
"27","283",4.05756329113924,2,5,0.8,0.4
"28","284",3.71333607594937,1,3,0.333333333333333,0.333333333333333
"29","287",4.12667721518987,4,16,1,0.25
"30","288",4.34088607594937,3,9,1,0.333333333333333
"31","2950",4.17607594936709,0,5,0,0
"32","2951",4.14462025316456,3,11,0.818181818181818,0.272727272727273
"33","296",4.04427215189873,2,8,0.5,0.25
"34","297",4.15839873417722,2,3,1.33333333333333,0.666666666666667
"35","298",4.14138607594937,1,6,0.166666666666667,0.166666666666667
"36","301",4.44278481012658,7,20,2.45,0.35
"37","306",4.08024683544304,1,15,0.0666666666666667,0.0666666666666667
"38","308",4.32803797468354,8,15,4.26666666666667,0.533333333333333
"39","309",3.98955696202532,7,23,2.1304347826087,0.304347826086957
"40","310",4.56107594936709,4,4,4,1
"41","311",4.29037974683544,0,1,0,0
"42","317",4.79544303797468,0,1,0,0
"43","318",3.99837341772152,4,11,1.45454545454545,0.363636363636364
"44","319",4.39892405063291,0,1,0,0
"45","326",4.38784810126582,4,12,1.33333333333333,0.333333333333333
"46","327",4.25520253164557,0,6,0,0
"47","334",4.38697088607595,1,3,0.333333333333333,0.333333333333333
"48","335",4.45709493670886,1,1,1,1
"49","336",4.23145569620253,1,3,0.333333333333333,0.333333333333333
"50","337",4.31111392405063,0,1,0,0
"51","3381",4.58101265822785,1,3,0.333333333333333,0.333333333333333
"52","3413",4.04183544303798,1,5,0.2,0.2
"53","3421",3.81145569620253,2,4,1,0.5
"54","3431",4.07993670886076,3,7,1.28571428571429,0.428571428571429
"55","3441",4.10784810126582,1,12,0.0833333333333333,0.0833333333333333
"56","3451",4.22932911392405,4,11,1.45454545454545,0.363636363636364
"57","3461",4.15322848101266,3,23,0.391304347826087,0.130434782608696
"58","3471",4.47556962025316,18,30,10.8,0.6
"59","3481",4.27983544303797,1,1,1,1
"60","3501",4.10328481012658,0,2,0,0
"61","3511",4.20886075949367,8,47,1.36170212765957,0.170212765957447
"62","3521",4.32449367088608,7,18,2.72222222222222,0.388888888888889
"63","3531",4.34177215189873,2,2,2,1
"64","3541",4.32537974683544,20,52,7.69230769230769,0.384615384615385
"65","3551",4.01774746835443,10,35,2.85714285714286,0.285714285714286
"66","3561",4.32498101265823,14,38,5.15789473684211,0.368421052631579
"67","3571",4.21993670886076,2,5,0.8,0.4
"68","3581",4.14280379746835,7,43,1.13953488372093,0.162790697674419
"69","3591",4.88914556962025,14,43,4.55813953488372,0.325581395348837
"70","3601",4.47007594936709,1,10,0.1,0.1
"71","3611",4.34376582278481,0,2,0,0
"72","3621",4.34177215189873,0,2,0,0
"73","3641",3.99934810126582,5,22,1.13636363636364,0.227272727272727
"74","3652",4.18639873417721,4,11,1.45454545454545,0.363636363636364
"75","3661",4.09562025316456,4,14,1.14285714285714,0.285714285714286
"76","3671",4.41354430379747,4,35,0.457142857142857,0.114285714285714
"77","3681",4.45208860759494,6,19,1.89473684210526,0.315789473684211
"78","3691",4.13044303797468,1,23,0.0434782608695652,0.0434782608695652
"79","3701",3.97360759493671,0,3,0,0
"80","3721",4.29215189873418,4,31,0.516129032258065,0.129032258064516
"81","3731",4.36259493670886,6,23,1.56521739130435,0.260869565217391
"82","3741",4.55974683544304,1,4,0.25,0.25
"83","3751",4.33911392405063,2,6,0.666666666666667,0.333333333333333
"84","3761",4.22082278481013,0,3,0,0
"85","3771",4.14683544303797,0,1,0,0
"86","3781",4.16455696202532,5,8,3.125,0.625
"87","3801",4.50126582278481,2,3,1.33333333333333,0.666666666666667
"88","3811",4.19069620253165,1,6,0.166666666666667,0.166666666666667
"89","3821",4.2095253164557,4,9,1.77777777777778,0.444444444444444
"90","3831",4.39701898734177,0,2,0,0
"91","3841",4.49683544303798,0,1,0,0
"92","3851",4.43037974683544,0,2,0,0
"93","3861",4.82911392405063,0,1,0,0
"94","3871",4.11892405063291,4,34,0.470588235294118,0.117647058823529
"95","3881",3.93462025316456,0,7,0,0
"96","3891",4.59736075949367,3,6,1.5,0.5
"97","3901",4.21196202531646,1,1,1,1
"98","3911",3.95172151898734,8,49,1.30612244897959,0.163265306122449
"99","3921",4.1353164556962,4,45,0.355555555555556,0.0888888888888889
"100","3931",4.05556962025316,17,54,5.35185185185185,0.314814814814815
"101","3941",4.1246835443038,6,48,0.75,0.125
"102","3951",4.71870886075949,6,14,2.57142857142857,0.428571428571429
"103","3961",3.98556962025316,5,38,0.657894736842105,0.131578947368421
"104","3971",3.97870253164557,4,15,1.06666666666667,0.266666666666667
"105","3981",4.18241139240506,1,5,0.2,0.2
"106","3991",4.22746835443038,0,2,0,0
"107","4001",4.04981012658228,0,19,0,0
"108","4011",4.42727848101266,1,2,0.5,0.5
"109","4021",4.10784810126582,2,7,0.571428571428571,0.285714285714286
"110","4031",4.3916670886076,5,9,2.77777777777778,0.555555555555556
"111","4041",4.70506329113924,15,55,4.09090909090909,0.272727272727273
"112","4051",4.34177215189873,6,27,1.33333333333333,0.222222222222222
"113","4061",4.08963924050633,0,1,0,0
"114","4071",4.45208860759494,2,20,0.2,0.1
"115","4081",4.2981329113924,3,25,0.36,0.12
"116","4091",3.96474683544304,10,55,1.81818181818182,0.181818181818182
"117","4121",4.19291139240506,1,10,0.1,0.1
"119","4141",4.69912658227848,2,5,0.8,0.4
"120","4151",3.98645569620253,0,5,0,0
"121","4161",4.37898734177215,1,2,0.5,0.5
"122","4181",4.10975316455696,3,27,0.333333333333333,0.111111111111111
"123","4191",4.4020253164557,2,5,0.8,0.4
"124","4211",4.22082278481013,0,3,0,0
"125","4231",4.46759493670886,0,1,0,0
"126","4241",3.88282911392405,3,18,0.5,0.166666666666667
"127","4251",4.1029746835443,1,20,0.05,0.05
"129","4321",4.3356582278481,1,2,0.5,0.5
"130","4341",4.36901898734177,0,1,0,0
"131","4361",4.03341772151899,0,1,0,0
"132","4391",4.18094936708861,0,1,0,0
"133","4422",4.15037974683544,1,1,1,1
"134","4451",4.62088607594937,0,1,0,0
"135","4461",4.10496835443038,0,1,0,0
"136","4521",4.26096202531646,2,5,0.8,0.4
"137","4542",4.06748734177215,1,1,1,1
"138","4551",4.29060126582278,0,3,0,0
"139","4561",4.21816455696202,9,48,1.6875,0.1875
"140","4571",4.39498101265823,3,5,1.8,0.6
"141","4581",3.98645569620253,0,3,0,0
"142","4591",4.30313924050633,0,1,0,0
"143","4612",4.25493670886076,11,56,2.16071428571429,0.196428571428571
"144","4621",3.88544303797468,0,2,0,0
"145","4631",4.20137341772152,0,2,0,0
